config_name,hidden_dim,lr,gamma,eps_clip,k_epochs,num_episodes,update_interval,eval_win_rate,eval_wins,eval_losses,eval_draws,execution_time_sec
config_1,128,0.001,0.99,0.2,4,1000,20,0.5,25,25,0,13.64
config_2,256,0.0003,0.95,0.1,8,1000,10,0.68,34,16,0,17.55
config_3,128,0.0005,0.99,0.2,4,1000,30,0.5,25,25,0,15.41
config_1,128,0.001,0.99,0.2,4,1000,20,0.5,25,23,2,7.86
config_2,256,0.0003,0.95,0.1,8,1000,10,0.58,29,19,2,10.42
config_3,128,0.0005,0.99,0.2,4,1000,30,0.54,27,22,1,8.54
config_2,256,0.0003,0.95,0.1,8,10000,10,0.56,28,22,0,122.17
