config_name,grid_size,hidden_dim,lr,gamma,epsilon_start,epsilon_min,epsilon_decay,buffer_capacity,batch_size,target_update_freq,num_episodes,eval_episodes,avg_train_score,avg_train_loss,avg_score,final_epsilon,execution_time_sec
config_2,5,64,0.0005,0.95,1.0,0.1,0.995,10000,64,20,1000,50,0.942,0.006568398238259561,1.0,0.1,38.769439697265625
config_2,5,64,0.0005,0.95,1.0,0.1,0.995,10000,64,20,10000,50,0.9948,0.0006037742701585935,1.0,0.1,381.1126854419708
config_3,5,128,0.0001,0.99,1.0,0.05,0.999,10000,64,10,1000,50,0.685,0.015546360872530262,0.0,0.3676954247709635,76.85427260398865
config_3,5,128,0.0001,0.99,1.0,0.05,0.999,10000,64,10,10000,50,0.9609,0.0023251548343055633,1.0,0.05,409.3207001686096
