name,eval_every,num_episodes,eval_games,total_games,agent,train_batch_size,execution_time_sec,config_name,hidden_dim,num_simulations,avg_steps,avg_move_time_sec,state_dim,buffer_size,avg_score,train_epochs,env,action_dim,games_per_batch,lr,num_workers
exit_default,1000,31000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,21.84,0.00012043558225545054,69,100000,0.37,10,Quarto,32,500,0.001,
exit_default,1000,32000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.58,0.00012043558225545054,69,100000,0.53,10,Quarto,32,500,0.001,
exit_default,1000,33000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.96,0.00012043558225545054,69,100000,0.58,10,Quarto,32,500,0.001,
exit_default,1000,34000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.32,0.00012043558225545054,69,100000,0.52,10,Quarto,32,500,0.001,
exit_default,1000,35000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.12,0.00012043558225545054,69,100000,0.63,10,Quarto,32,500,0.001,
exit_default,1000,36000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.32,0.00012043558225545054,69,100000,0.52,10,Quarto,32,500,0.001,
exit_default,1000,37000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.9,0.00012043558225545054,69,100000,0.58,10,Quarto,32,500,0.001,
exit_default,1000,38000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.24,0.00012043558225545054,69,100000,0.64,10,Quarto,32,500,0.001,
exit_default,1000,39000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.68,0.00012043558225545054,69,100000,0.51,10,Quarto,32,500,0.001,
exit_default,1000,40000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.6,0.00012043558225545054,69,100000,0.37,10,Quarto,32,500,0.001,
exit_default,1000,41000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.34,0.00012043558225545054,69,100000,0.55,10,Quarto,32,500,0.001,
exit_default,1000,42000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.12,0.00012043558225545054,69,100000,0.64,10,Quarto,32,500,0.001,
exit_default,1000,43000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.32,0.00012043558225545054,69,100000,0.64,10,Quarto,32,500,0.001,
exit_default,1000,44000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.06,0.00012043558225545054,69,100000,0.61,10,Quarto,32,500,0.001,
exit_default,1000,45000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.48,0.00012043558225545054,69,100000,0.56,10,Quarto,32,500,0.001,
exit_default,1000,46000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.88,0.00012043558225545054,69,100000,0.58,10,Quarto,32,500,0.001,
exit_default,1000,47000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.74,0.00012043558225545054,69,100000,0.5,10,Quarto,32,500,0.001,
exit_default,1000,48000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.62,0.00012043558225545054,69,100000,0.67,10,Quarto,32,500,0.001,
exit_default,1000,49000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,20.36,0.00012043558225545054,69,100000,0.41,10,Quarto,32,500,0.001,
exit_default,1000,50000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.5,0.00012043558225545054,69,100000,0.58,10,Quarto,32,500,0.001,
exit_default,1000,50000,100,50000,ExIt,256,6655.86,exit_default_50000g,256,100,19.46,0.00012043558225545054,69,100000,0.6,10,Quarto,32,500,0.001,
exit_100sims_v2,1000,1000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,23.08,0.00013658518402429666,69,100000,0.19,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,2000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,23.34,0.00013658518402429666,69,100000,0.12,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,3000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,22.56,0.00013658518402429666,69,100000,0.24,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,4000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,23.1,0.00013658518402429666,69,100000,-0.06,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,5000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,22.4,0.00013658518402429666,69,100000,0.13,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,6000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,23.0,0.00013658518402429666,69,100000,0.27,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,7000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,22.04,0.00013658518402429666,69,100000,0.21,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,8000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.9,0.00013658518402429666,69,100000,0.1,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,9000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.52,0.00013658518402429666,69,100000,0.24,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,10000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,23.12,0.00013658518402429666,69,100000,0.21,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,11000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.54,0.00013658518402429666,69,100000,0.46,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,12000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,22.28,0.00013658518402429666,69,100000,0.16,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,13000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,22.04,0.00013658518402429666,69,100000,0.36,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,14000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.64,0.00013658518402429666,69,100000,0.4,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,15000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.18,0.00013658518402429666,69,100000,0.54,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,16000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.68,0.00013658518402429666,69,100000,0.3,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,17000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.9,0.00013658518402429666,69,100000,0.41,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,18000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.78,0.00013658518402429666,69,100000,0.19,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,19000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.84,0.00013658518402429666,69,100000,0.35,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,20000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.62,0.00013658518402429666,69,100000,0.38,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,21000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.3,0.00013658518402429666,69,100000,0.22,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,22000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.88,0.00013658518402429666,69,100000,0.34,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,23000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.4,0.00013658518402429666,69,100000,0.27,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,24000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,21.4,0.00013658518402429666,69,100000,0.33,10,Quarto,32,500,0.001,6
exit_100sims_v2,1000,25000,100,100000,ExIt,256,9293.68,exit_100sims_v2_100000g,256,100,20.82,0.00013658518402429666,69,100000,0.27,10,Quarto,32,500,0.001,6
